CustomerKey,CustomerName,RegionKey,IncomeBand,LoyaltyTier
C-0001,Customer 1,R-NA-W,Low,Bronze
C-0002,Customer 2,R-APAC,Mid,Bronze
C-0003,Customer 3,R-EU,Mid,Bronze
C-0004,Customer 4,R-NA-W,Mid,Bronze
C-0005,Customer 5,R-NA-E,Mid,Bronze
C-0006,Customer 6,R-NA-E,High,Silver
C-0007,Customer 7,R-NA-E,Mid,Bronze
C-0008,Customer 8,R-APAC,Mid,Silver
C-0009,Customer 9,R-EU,Mid,Silver
C-0010,Customer 10,R-EU,Low,Silver
C-0011,Customer 11,R-NA-E,Mid,Bronze
C-0012,Customer 12,R-APAC,Low,Gold
C-0013,Customer 13,R-EU,Low,Silver
C-0014,Customer 14,R-NA-E,High,Bronze
C-0015,Customer 15,R-NA-E,High,Gold
C-0016,Customer 16,R-NA-E,Mid,Platinum
C-0017,Customer 17,R-NA-W,Mid,Bronze
C-0018,Customer 18,R-NA-W,Low,Bronze
C-0019,Customer 19,R-NA-W,Low,Gold
C-0020,Customer 20,R-NA-E,Low,Gold
C-0021,Customer 21,R-EU,Mid,Bronze
C-0022,Customer 22,R-NA-E,Mid,Bronze
C-0023,Customer 23,R-NA-E,Mid,Silver
C-0024,Customer 24,R-NA-W,Low,Silver
C-0025,Customer 25,R-NA-W,High,Silver
C-0026,Customer 26,R-EU,Mid,Silver
C-0027,Customer 27,R-NA-E,Mid,Silver
C-0028,Customer 28,R-NA-W,Mid,Gold
C-0029,Customer 29,R-NA-W,Mid,Bronze
C-0030,Customer 30,R-NA-E,Low,Bronze
C-0031,Customer 31,R-EU,Mid,Gold
C-0032,Customer 32,R-NA-E,Mid,Gold
C-0033,Customer 33,R-NA-E,Low,Silver
C-0034,Customer 34,R-APAC,Low,Silver
C-0035,Customer 35,R-APAC,Low,Bronze
C-0036,Customer 36,R-EU,Low,Silver
C-0037,Customer 37,R-NA-W,High,Silver
C-0038,Customer 38,R-NA-E,Mid,Bronze
C-0039,Customer 39,R-EU,Mid,Bronze
C-0040,Customer 40,R-NA-W,Low,Silver
C-0041,Customer 41,R-NA-E,Mid,Bronze
C-0042,Customer 42,R-NA-W,Mid,Bronze
C-0043,Customer 43,R-NA-E,Low,Bronze
C-0044,Customer 44,R-APAC,Mid,Bronze
C-0045,Customer 45,R-NA-E,Mid,Bronze
C-0046,Customer 46,R-EU,Mid,Gold
C-0047,Customer 47,R-NA-W,Mid,Silver
C-0048,Customer 48,R-NA-W,Low,Silver
C-0049,Customer 49,R-NA-W,Mid,Gold
C-0050,Customer 50,R-NA-E,Mid,Silver
C-0051,Customer 51,R-APAC,Mid,Bronze
C-0052,Customer 52,R-EU,High,Silver
C-0053,Customer 53,R-APAC,Mid,Silver
C-0054,Customer 54,R-APAC,Low,Gold
C-0055,Customer 55,R-NA-W,Low,Silver
C-0056,Customer 56,R-APAC,Mid,Bronze
C-0057,Customer 57,R-NA-E,Low,Bronze
C-0058,Customer 58,R-NA-E,Mid,Silver
C-0059,Customer 59,R-NA-E,High,Silver
C-0060,Customer 60,R-NA-W,Mid,Silver
C-0061,Customer 61,R-NA-W,Mid,Silver
C-0062,Customer 62,R-NA-E,Mid,Platinum
C-0063,Customer 63,R-EU,Mid,Silver
C-0064,Customer 64,R-NA-W,Mid,Bronze
C-0065,Customer 65,R-NA-E,High,Bronze
C-0066,Customer 66,R-NA-W,Mid,Bronze
C-0067,Customer 67,R-NA-E,High,Bronze
C-0068,Customer 68,R-EU,High,Bronze
C-0069,Customer 69,R-NA-E,Low,Bronze
C-0070,Customer 70,R-APAC,Low,Bronze
C-0071,Customer 71,R-EU,Low,Bronze
C-0072,Customer 72,R-NA-E,Low,Gold
C-0073,Customer 73,R-NA-E,Low,Bronze
C-0074,Customer 74,R-EU,Mid,Silver
C-0075,Customer 75,R-EU,Low,Silver
C-0076,Customer 76,R-EU,Mid,Platinum
C-0077,Customer 77,R-EU,High,Bronze
C-0078,Customer 78,R-NA-E,Low,Silver
C-0079,Customer 79,R-NA-W,High,Platinum
C-0080,Customer 80,R-NA-E,Low,Gold
C-0081,Customer 81,R-APAC,Low,Gold
C-0082,Customer 82,R-EU,Mid,Bronze
C-0083,Customer 83,R-NA-W,Mid,Bronze
C-0084,Customer 84,R-NA-E,High,Silver
C-0085,Customer 85,R-NA-W,Mid,Platinum
C-0086,Customer 86,R-NA-W,High,Silver
C-0087,Customer 87,R-EU,Low,Silver
C-0088,Customer 88,R-EU,Low,Bronze
C-0089,Customer 89,R-APAC,Mid,Gold
C-0090,Customer 90,R-NA-W,High,Bronze
C-0091,Customer 91,R-NA-E,High,Bronze
