SalesRepKey,SalesRepName,RegionKey,HireDate
S-001,Rep 1,R-NA-E,2021-12-14
S-002,Rep 2,R-NA-E,2023-03-27
S-003,Rep 3,R-NA-E,2021-09-23
S-004,Rep 4,R-NA-W,2020-02-28
S-005,Rep 5,R-NA-W,2020-05-07
S-006,Rep 6,R-EU,2022-01-05
S-007,Rep 7,R-EU,2021-12-21
S-008,Rep 8,R-NA-E,2023-02-12
S-009,Rep 9,R-NA-E,2023-05-17
S-010,Rep 10,R-NA-W,2021-06-09
S-011,Rep 11,R-NA-W,2021-06-04
S-012,Rep 12,R-NA-E,2021-07-05
S-013,Rep 13,R-NA-W,2020-08-24
S-014,Rep 14,R-NA-W,2023-07-28
S-015,Rep 15,R-NA-W,2023-10-14
S-016,Rep 16,R-NA-W,2023-05-09
S-017,Rep 17,R-NA-E,2023-07-25
S-018,Rep 18,R-APAC,2023-06-12
S-019,Rep 19,R-EU,2021-05-08
S-020,Rep 20,R-NA-E,2020-01-04
