TransactionID,DateKey,CustomerKey,ProductKey,ChannelKey,RegionKey,SalesRepKey,Quantity,UnitPrice,DiscountRate,NetAmount
T-20240101-0000,20240101,C-0239,P-500,CH-Online,R-EU,S-009,1,41.27,0.0,41.27
T-20240101-0001,20240101,C-0148,P-500,CH-Online,R-NA-W,S-010,1,44.57,0.0,44.57
T-20240101-0002,20240101,C-0227,P-400,CH-Retail,R-APAC,S-014,5,45.47,0.0,227.35
T-20240101-0003,20240101,C-0244,P-100,CH-Online,R-NA-W,S-011,1,88.49,0.0,88.49
T-20240101-0004,20240101,C-0201,P-200,CH-Retail,R-EU,S-018,1,87.98,0.0,87.98
T-20240101-0005,20240101,C-0154,P-400,CH-Online,R-NA-W,S-012,1,56.53,0.0,56.53
T-20240101-0006,20240101,C-0073,P-100,CH-Online,R-NA-E,S-012,1,101.79,0.0,101.79
T-20240101-0007,20240101,C-0201,P-400,CH-Online,R-EU,S-013,1,42.78,0.15,36.36
T-20240101-0008,20240101,C-0296,P-100,CH-Retail,R-NA-W,S-013,1,116.41,0.0,116.41
T-20240101-0009,20240101,C-0017,P-100,CH-Wholesale,R-NA-W,S-019,1,97.41,0.0,97.41
T-20240101-0010,20240101,C-0129,P-200,CH-Online,R-NA-E,S-019,1,80.62,0.1,72.56
T-20240101-0011,20240101,C-0217,P-100,CH-Retail,R-NA-W,S-014,1,128.63,0.0,128.63
T-20240101-0012,20240101,C-0061,P-500,CH-Retail,R-NA-W,S-004,1,39.23,0.0,39.23
T-20240101-0013,20240101,C-0104,P-400,CH-Retail,R-NA-W,S-013,1,194.14,0.0,194.14
T-20240101-0014,20240101,C-0042,P-400,CH-Online,R-NA-W,S-008,1,196.58,0.0,196.58
T-20240101-0015,20240101,C-0025,P-300,CH-Retail,R-NA-W,S-019,2,79.06,0.1,142.31
T-20240101-0016,20240101,C-0039,P-100,CH-Retail,R-EU,S-012,1,131.48,0.05,124.91
T-20240101-0017,20240101,C-0291,P-300,CH-Online,R-NA-E,S-018,1,186.99,0.1,168.29
T-20240101-0018,20240101,C-0131,P-300,CH-Online,R-NA-W,S-006,1,172.29,0.0,172.29
T-20240101-0019,20240101,C-0229,P-300,CH-Retail,R-APAC,S-018,1,95.77,0.0,95.77
T-20240101-0020,20240101,C-0108,P-200,CH-Wholesale,R-EU,S-019,2,95.45,0.15,162.26
T-20240101-0021,20240101,C-0172,P-300,CH-Online,R-NA-E,S-005,1,160.39,0.0,160.39
T-20240101-0022,20240101,C-0102,P-300,CH-Retail,R-EU,S-009,1,57.46,0.05,54.58
T-20240101-0023,20240101,C-0012,P-500,CH-Wholesale,R-APAC,S-003,1,47.03,0.1,42.32
T-20240101-0024,20240101,C-0275,P-400,CH-Retail,R-NA-W,S-010,1,180.46,0.1,162.42
T-20240101-0025,20240101,C-0101,P-300,CH-Wholesale,R-NA-E,S-019,1,100.11,0.0,100.11
T-20240101-0026,20240101,C-0044,P-300,CH-Retail,R-APAC,S-003,1,92.54,0.0,92.54
T-20240101-0027,20240101,C-0017,P-400,CH-Online,R-NA-W,S-015,1,130.15,0.0,130.15
T-20240101-0028,20240101,C-0057,P-100,CH-Online,R-NA-E,S-001,1,117.72,0.0,117.72
T-20240101-0029,20240101,C-0012,P-400,CH-Online,R-APAC,S-007,1,42.35,0.0,42.35
T-20240101-0030,20240101,C-0080,P-400,CH-Retail,R-NA-E,S-012,1,142.81,0.0,142.81
T-20240101-0031,20240101,C-0216,P-300,CH-Retail,R-NA-E,S-017,3,126.78,0.05,361.32
T-20240101-0032,20240101,C-0264,P-200,CH-Online,R-NA-W,S-020,2,143.14,0.0,286.28
