YearMonth,RegionKey,Category,TargetAmount
202401,R-NA-E,Footwear,400000
202401,R-NA-E,Apparel,350000
202401,R-NA-E,Accessories,120000
202401,R-NA-W,Footwear,380000
202401,R-NA-W,Apparel,332500
202401,R-NA-W,Accessories,114000
202401,R-EU,Footwear,360000
202401,R-EU,Apparel,315000
202401,R-EU,Accessories,108000
202401,R-APAC,Footwear,440000
202401,R-APAC,Apparel,385000
202401,R-APAC,Accessories,132000
202402,R-NA-E,Footwear,400000
202402,R-NA-E,Apparel,350000
202402,R-NA-E,Accessories,120000
202402,R-NA-W,Footwear,380000
202402,R-NA-W,Apparel,332500
202402,R-NA-W,Accessories,114000
202402,R-EU,Footwear,360000
202402,R-EU,Apparel,315000
202402,R-EU,Accessories,108000
202402,R-APAC,Footwear,440000
202402,R-APAC,Apparel,385000
202402,R-APAC,Accessories,132000
202403,R-NA-E,Footwear,400000
202403,R-NA-E,Apparel,350000
202403,R-NA-E,Accessories,120000
202403,R-NA-W,Footwear,380000
202403,R-NA-W,Apparel,332500
202403,R-NA-W,Accessories,114000
202403,R-EU,Footwear,360000
202403,R-EU,Apparel,315000
202403,R-EU,Accessories,108000
202403,R-APAC,Footwear,440000
202403,R-APAC,Apparel,385000
202403,R-APAC,Accessories,132000
202404,R-NA-E,Footwear,400000
202404,R-NA-E,Apparel,350000
202404,R-NA-E,Accessories,120000
202404,R-NA-W,Footwear,380000
202404,R-NA-W,Apparel,332500
202404,R-NA-W,Accessories,114000
202404,R-EU,Footwear,360000
202404,R-EU,Apparel,315000
202404,R-EU,Accessories,108000
202404,R-APAC,Footwear,440000
202404,R-APAC,Apparel,385000
202404,R-APAC,Accessories,132000
202405,R-NA-E,Footwear,420000
202405,R-NA-E,Apparel,367500
202405,R-NA-E,Accessories,126000
202405,R-NA-W,Footwear,399000
202405,R-NA-W,Apparel,349125
202405,R-NA-W,Accessories,119700
202405,R-EU,Footwear,378000
202405,R-EU,Apparel,330750
202405,R-EU,Accessories,113400
202405,R-APAC,Footwear,462000
202405,R-APAC,Apparel,404250
202405,R-APAC,Accessories,138600
202406,R-NA-E,Footwear,420000
202406,R-NA-E,Apparel,367500
202406,R-NA-E,Accessories,126000
202406,R-NA-W,Footwear,399000
202406,R-NA-W,Apparel,349125
202406,R-NA-W,Accessories,119700
202406,R-EU,Footwear,378000
202406,R-EU,Apparel,330750
202406,R-EU,Accessories,113400
202406,R-APAC,Footwear,462000
202406,R-APAC,Apparel,404250
202406,R-APAC,Accessories,138600
202407,R-NA-E,Footwear,400000
202407,R-NA-E,Apparel,350000
202407,R-NA-E,Accessories,120000
202407,R-NA-W,Footwear,380000
202407,R-NA-W,Apparel,332500
202407,R-NA-W,Accessories,114000
202407,R-EU,Footwear,360000
202407,R-EU,Apparel,315000
202407,R-EU,Accessories,108000
202407,R-APAC,Footwear,440000
202407,R-APAC,Apparel,385000
202407,R-APAC,Accessories,132000
202408,R-NA-E,Footwear,400000
202408,R-NA-E,Apparel,350000
202408,R-NA-E,Accessories,120000
202408,R-NA-W,Footwear,380000
202408,R-NA-W,Apparel,332500
202408,R-NA-W,Accessories,114000
202408,R-EU,Footwear,360000
202408,R-EU,Apparel,315000
202408,R-EU,Accessories,108000
202408,R-APAC,Footwear,440000
202408,R-APAC,Apparel,385000
202408,R-APAC,Accessories,132000
202409,R-NA-E,Footwear,400000
202409,R-NA-E,Apparel,350000
202409,R-NA-E,Accessories,120000
202409,R-NA-W,Footwear,380000
202409,R-NA-W,Apparel,332500
202409,R-NA-W,Accessories,114000
202409,R-EU,Footwear,360000
202409,R-EU,Apparel,315000
202409,R-EU,Accessories,108000
202409,R-APAC,Footwear,440000
202409,R-APAC,Apparel,385000
202409,R-APAC,Accessories,132000
202410,R-NA-E,Footwear,400000
202410,R-NA-E,Apparel,350000
202410,R-NA-E,Accessories,120000
202410,R-NA-W,Footwear,380000
202410,R-NA-W,Apparel,332500
202410,R-NA-W,Accessories,114000
202410,R-EU,Footwear,360000
202410,R-EU,Apparel,315000
202410,R-EU,Accessories,108000
202410,R-APAC,Footwear,440000
202410,R-APAC,Apparel,385000
202410,R-APAC,Accessories,132000
202411,R-NA-E,Footwear,480000
202411,R-NA-E,Apparel,420000
202411,R-NA-E,Accessories,144000
202411,R-NA-W,Footwear,456000
202411,R-NA-W,Apparel,399000
202411,R-NA-W,Accessories,136800
202411,R-EU,Footwear,432000
202411,R-EU,Apparel,378000
202411,R-EU,Accessories,129600
202411,R-APAC,Footwear,528000
202411,R-APAC,Apparel,462000
202411,R-APAC,Accessories,158400
202412,R-NA-E,Footwear,480000
202412,R-NA-E,Apparel,420000
202412,R-NA-E,Accessories,144000
202412,R-NA-W,Footwear,456000
202412,R-NA-W,Apparel,399000
202412,R-NA-W,Accessories,136800
202412,R-EU,Footwear,432000
202412,R-EU,Apparel,378000
202412,R-EU,Accessories,129600
202412,R-APAC,Footwear,528000
202412,R-APAC,Apparel,462000
202412,R-APAC,Accessories,158400
